
2026-03-05 12:59:54.068 [INFO] [T2] [12:59:53] [同步]     页面：「01_01_PS_SCHEDULE_REGION 公司 」 → 27 个内容块 [5/72] | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_01_PS_SCHEDULE_REGION 公司 
2026-03-05 12:59:55.388 [INFO] [T2] [12:59:55] [写入完成] 「01_00_工厂建模基础数据清单」 1 个内容块已写入 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_00_工厂建模基础数据清单
2026-03-05 12:59:55.767 [INFO] [T2] GetPageContentXmlAsync 开始, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398103} | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_02_PS_PLANT 工厂
2026-03-05 12:59:55.861 [INFO] [T2] GetPageContentXmlAsync 成功, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398103}, xmlLength=93836 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_02_PS_PLANT 工厂
2026-03-05 12:59:55.885 [INFO] [T2] 诊断文件已保存: E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\01_02_PS_PLANT 工厂_125955_raw.xml / E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\01_02_PS_PLANT 工厂_125955_semantic.txt | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_02_PS_PLANT 工厂
2026-03-05 12:59:55.887 [INFO] [T2] [12:59:55] [同步]     页面：「01_02_PS_PLANT 工厂」 → 27 个内容块 [6/72] | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_02_PS_PLANT 工厂
2026-03-05 12:59:57.731 [INFO] [T2] GetPageContentXmlAsync 开始, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398104} | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_03_PS_SCHEDULE_GROUP 计划组
2026-03-05 12:59:57.971 [INFO] [T2] GetPageContentXmlAsync 成功, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398104}, xmlLength=142140 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_03_PS_SCHEDULE_GROUP 计划组
2026-03-05 12:59:58.001 [INFO] [T2] 诊断文件已保存: E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\01_03_PS_SCHEDULE_GROUP 计划组_125957_raw.xml / E:\90 AI\项目\OneNoteToNotion-AI\OneNoteToNotion\bin\Debug\net10.0-windows7.0\diagnostics\01_03_PS_SCHEDULE_GROUP 计划组_125957_semantic.txt | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_03_PS_SCHEDULE_GROUP 计划组
2026-03-05 12:59:58.002 [INFO] [T2] [12:59:57] [同步]     页面：「01_03_PS_SCHEDULE_GROUP 计划组」 → 26 个内容块 [7/72] | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_03_PS_SCHEDULE_GROUP 计划组
2026-03-05 12:59:59.863 [INFO] [T2] GetPageContentXmlAsync 开始, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398105} | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_04_PS_RESOURCE 资源
2026-03-05 13:00:00.134 [INFO] [T2] GetPageContentXmlAsync 成功, pageId={D62E2D9D-58B2-0BA7-0326-C2D95A1B0758}{1}{E18504872021955651086195724471533728420398105}, xmlLength=214736 | 原始路径=数据字典-芜湖APS/01_基础数据_工厂建模/01_04_PS_RESOURCE 资源
